nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
HE100AA,12.2,0.091,0.1,0.0042,0.0055,0.012,0.00156,2.365e-06,9.21e-07,0.0389,0.0243,5.198e-05,1.841e-05,5.836e-05,2.844e-05,2.3300000000000003e-08,1.68e-09,FALSE,20170912,CAT HE-AM HE100AA 20170912
HE120AA,14.6,0.109,0.12,0.0042,0.0055,0.012,0.00186,4.134e-06,1.588e-06,0.0472,0.0293,7.585e-05,2.647e-05,8.412e-05,4.062e-05,2.5899999999999997e-08,4.24e-09,FALSE,20170912,CAT HE-AM HE120AA 20170912
HE100A,16.7,0.096,0.1,0.005,0.008,0.012,0.00212,3.492e-06,1.338e-06,0.0406,0.0251,7.276e-05,2.676e-05,8.301e-05,4.114e-05,5.28e-08,2.58e-09,FALSE,20170912,CAT HE-AM HE100A 20170912
HE140AA,18.1,0.128,0.14,0.0043,0.006,0.012,0.0023,7.195e-06,2.748e-06,0.0559,0.0345,0.0001124,3.926e-05,0.0001238,5.993e-05,3.43e-08,1.02e-08,FALSE,20170912,CAT HE-AM HE140AA 20170912
HE120A,19.9,0.114,0.12,0.005,0.008,0.012,0.00253,6.062e-06,2.309e-06,0.0489,0.0302,0.0001063,3.848e-05,0.0001195,5.885e-05,6.04e-08,6.47e-09,FALSE,20170912,CAT HE-AM HE120A 20170912
HE100B,20.4,0.1,0.1,0.006,0.01,0.012,0.0026,4.495e-06,1.673e-06,0.0416,0.0253,8.991e-05,3.345e-05,0.0001042,5.142e-05,9.33e-08,3.38e-09,FALSE,20170912,CAT HE-AM HE100B 20170912
HE160AA,23.8,0.148,0.16,0.0045,0.007,0.015,0.00304,1.283e-05,4.787e-06,0.065,0.0397,0.0001734,5.984e-05,0.0001904,9.136e-05,6.43e-08,2.38e-08,FALSE,20170912,CAT HE-AM HE160AA 20170912
HE140A,24.7,0.133,0.14,0.0055,0.0085,0.012,0.00314,1.033e-05,3.893e-06,0.0573,0.0352,0.0001554,5.562e-05,0.0001735,8.485e-05,8.1e-08,1.51e-08,FALSE,20170912,CAT HE-AM HE140A 20170912
HE120B,26.7,0.12,0.12,0.0065,0.011,0.012,0.0034,8.644e-06,3.175e-06,0.0504,0.0306,0.0001441,5.292e-05,0.0001652,8.097e-05,1.39e-07,9.41e-09,FALSE,20170912,CAT HE-AM HE120B 20170912
HE180AA,28.7,0.167,0.18,0.005,0.0075,0.015,0.00365,1.967e-05,7.3e-06,0.0734,0.0447,0.0002356,8.111e-05,0.0002582,0.0001236,8.31e-08,4.64e-08,FALSE,20170912,CAT HE-AM HE180AA 20170912
HE160A,30.4,0.152,0.16,0.006,0.009,0.015,0.00388,1.673e-05,6.156e-06,0.0657,0.0398,0.0002201,7.695e-05,0.0002451,0.0001176,1.21e-07,3.14e-08,FALSE,20170912,CAT HE-AM HE160A 20170912
HE100C,30.9,0.11,0.103,0.009,0.015,0.012,0.00393,7.587e-06,2.744e-06,0.0439,0.0264,0.0001379,5.328e-05,0.0001658,8.208e-05,2.91e-07,6.19e-09,FALSE,20170912,CAT HE-AM HE100C 20170912
HE140B,33.7,0.14,0.14,0.007,0.012,0.012,0.0043,1.509e-05,5.497e-06,0.0593,0.0358,0.0002156,7.852e-05,0.0002454,0.0001198,2.02e-07,2.25e-08,FALSE,20170912,CAT HE-AM HE140B 20170912
HE200AA,34.6,0.186,0.2,0.0055,0.008,0.018,0.00441,2.944e-05,1.068e-05,0.0817,0.0492,0.0003166,0.0001068,0.0003471,0.0001632,1.25e-07,8.45e-08,FALSE,20170912,CAT HE-AM HE200AA 20170912
HE180A,35.5,0.171,0.18,0.006,0.0095,0.015,0.00453,2.51e-05,9.246e-06,0.0745,0.0452,0.0002936,0.0001027,0.0003249,0.0001565,1.49e-07,6.02e-08,FALSE,20170912,CAT HE-AM HE180A 20170912
HE120C,39.2,0.13,0.123,0.0095,0.016,0.012,0.00499,1.388e-05,4.977e-06,0.0527,0.0316,0.0002136,8.092e-05,0.0002529,0.0001242,4.069999999999999e-07,1.61e-08,FALSE,20170912,CAT HE-AM HE120C 20170912
