nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS80x80x3.6,8.53,0.08,0.08,0.0036,,,0.00109,1.05e-06,1.05e-06,0.0311,0.0311,2.62e-05,2.62e-05,3.1e-05,3.1e-05,1.64e-06,,,20110705,CAT EN-SHS SHS80x80x3.6 20110705
SHS50x50x7.1,9.14,0.05,0.05,0.0071,,,0.00116,3.45e-07,3.45e-07,0.0172,0.0172,1.38e-05,1.38e-05,1.83e-05,1.83e-05,5.89e-07,,,20110705,CAT EN-SHS SHS50x50x7.1 20110705
SHS80x80x4,9.41,0.08,0.08,0.004,,,0.0012,1.14e-06,1.14e-06,0.0309,0.0309,2.86e-05,2.86e-05,3.4e-05,3.4e-05,1.8e-06,,,20110705,CAT EN-SHS SHS80x80x4 20110705
SHS90x90x3.6,9.66,0.09,0.09,0.0036,,,0.00123,1.52e-06,1.52e-06,0.0352,0.0352,3.38e-05,3.38e-05,3.97e-05,3.97e-05,2.37e-06,,,20110705,CAT EN-SHS SHS90x90x3.6 20110705
SHS70x70x5,9.99,0.07,0.07,0.005,,,0.00127,8.85e-07,8.85e-07,0.0264,0.0264,2.53e-05,2.53e-05,3.08e-05,3.08e-05,1.42e-06,,,20110705,CAT EN-SHS SHS70x70x5 20110705
SHS50x50x8,10.0,0.05,0.05,0.008,,,0.00128,3.6e-07,3.6e-07,0.0168,0.0168,1.44e-05,1.44e-05,1.95e-05,1.95e-05,6.23e-07,,,20110705,CAT EN-SHS SHS50x50x8 20110705
SHS60x60x6.3,10.3,0.06,0.06,0.0063,,,0.00131,6.16e-07,6.16e-07,0.0217,0.0217,2.05e-05,2.05e-05,2.6e-05,2.6e-05,1.02e-06,,False,20100728,CAT EN-SHS SHS60x60x6.3 20100728
SHS90x90x4,10.7,0.09,0.09,0.004,,,0.00136,1.66e-06,1.66e-06,0.035,0.035,3.7e-05,3.7e-05,4.36e-05,4.36e-05,2.6e-06,,,20110705,CAT EN-SHS SHS90x90x4 20110705
SHS100x100x3.6,10.8,0.1,0.1,0.0036,,,0.00137,2.12e-06,2.12e-06,0.0392,0.0392,4.23e-05,4.23e-05,4.95e-05,4.95e-05,3.28e-06,,,20110705,CAT EN-SHS SHS100x100x3.6 20110705
SHS60x60x7.1,11.4,0.06,0.06,0.0071,,,0.00145,6.58e-07,6.58e-07,0.0213,0.0213,2.19e-05,2.19e-05,2.82e-05,2.82e-05,1.1e-06,,,20110705,CAT EN-SHS SHS60x60x7.1 20110705
SHS80x80x5,11.6,0.08,0.08,0.005,,,0.00147,1.37e-06,1.37e-06,0.0305,0.0305,3.42e-05,3.42e-05,4.11e-05,4.11e-05,2.17e-06,,,20110705,CAT EN-SHS SHS80x80x5 20110705
SHS100x100x4,11.9,0.1,0.1,0.004,,,0.00152,2.32e-06,2.32e-06,0.0391,0.0391,4.64e-05,4.64e-05,5.44e-05,5.44e-05,3.61e-06,,,20110705,CAT EN-SHS SHS100x100x4 20110705
SHS70x70x6.3,12.3,0.07,0.07,0.0063,,,0.00156,1.04e-06,1.04e-06,0.0258,0.0258,2.97e-05,2.97e-05,3.69e-05,3.69e-05,1.69e-06,,False,20100728,CAT EN-SHS SHS70x70x6.3 20100728
SHS60x60x8,12.5,0.06,0.06,0.008,,,0.0016,6.97e-07,6.97e-07,0.0209,0.0209,2.32e-05,2.32e-05,3.04e-05,3.04e-05,1.18e-06,,,20110705,CAT EN-SHS SHS60x60x8 20110705
SHS90x90x5,13.1,0.09,0.09,0.005,,,0.00167,2e-06,2e-06,0.0345,0.0345,4.44e-05,4.44e-05,5.3e-05,5.3e-05,3.16e-06,,,20110705,CAT EN-SHS SHS90x90x5 20110705
SHS70x70x7.1,13.6,0.07,0.07,0.0071,,,0.00173,1.12e-06,1.12e-06,0.0254,0.0254,3.2e-05,3.2e-05,4.03e-05,4.03e-05,1.85e-06,,,20110705,CAT EN-SHS SHS70x70x7.1 20110705
SHS80x80x6.3,14.2,0.08,0.08,0.0063,,,0.00181,1.62e-06,1.62e-06,0.0299,0.0299,4.05e-05,4.05e-05,4.97e-05,4.97e-05,2.62e-06,,False,20100728,CAT EN-SHS SHS80x80x6.3 20100728
SHS120x120x4,14.4,0.12,0.12,0.004,,,0.00184,4.1e-06,4.1e-06,0.0472,0.0472,6.84e-05,6.84e-05,7.97e-05,7.97e-05,6.35e-06,,,20110705,CAT EN-SHS SHS120x120x4 20110705
