nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
UB1000x400x412,412,1.008,0.402,0.0211,0.04,0.052509999999999994,0.009105,0.018070000000000003,0.020460000000000002,0.4164,0.000434,0.00216,0.0033490000000000004,0.0909,2.14e-05,0.03,CAT UB-AM UB1000x400x412 20170912
UB1000x400x443,443,1.012,0.402,0.023600000000000003,0.0419,0.056369999999999996,0.009665,0.019100000000000002,0.02178,0.4141,0.000455,0.002264,0.003529,0.08980000000000002,2.54e-05,0.03,CAT UB-AM UB1000x400x443 20170912
UB1000x400x483,483,1.02,0.404,0.0254,0.046,0.061509999999999995,0.010669999999999999,0.02093,0.02392,0.4166,0.0005071,0.00251,0.003919000000000001,0.09080000000000002,3.3068e-05,0.03,CAT UB-AM UB1000x400x483 20170912
UB1000x400x539,539,1.03,0.40700000000000003,0.028399999999999998,0.0511,0.06872,0.012029999999999999,0.023350000000000003,0.02682,0.4183,0.0005763,0.0028320000000000003,0.004436000000000001,0.0916,4.5299999999999997e-05,0.03,CAT UB-AM UB1000x400x539 20170912
UB1000x400x554,554,1.032,0.40800000000000003,0.029500000000000002,0.052000000000000005,0.07057999999999999,0.01232,0.023880000000000002,0.0275,0.4179,0.0005909999999999999,0.0028970000000000003,0.004547000000000001,0.0915,4.8299999999999995e-05,0.03,CAT UB-AM UB1000x400x554 20170912
UB1000x400x591,591,1.04,0.40900000000000003,0.031,0.0559,0.07526999999999999,0.013309999999999999,0.0256,0.02953,0.4205,0.0006401,0.0031300000000000004,0.004916,0.0922,5.9e-05,0.03,CAT UB-AM UB1000x400x591 20170912
UB1000x400x642,642,1.048,0.41200000000000003,0.034,0.06,0.08176,0.01451,0.027680000000000003,0.032100000000000004,0.4212,0.0007028,0.003412,0.005379,0.0927,7.38e-05,0.03,CAT UB-AM UB1000x400x642 20170912
UB1000x400x748,748,1.068,0.417,0.039,0.07,0.09534,0.01732,0.03243,0.037880000000000004,0.4262,0.0008511,0.0040820000000000006,0.006459,0.0945,0.000115547,0.03,CAT UB-AM UB1000x400x748 20170912
UB1000x400x883,883,1.092,0.424,0.0455,0.082,0.11249999999999999,0.02096,0.03839,0.04526,0.43160000000000004,0.00105,0.004952000000000001,0.007874,0.0966,0.000185176,0.03,CAT UB-AM UB1000x400x883 20170912
UB1000x400x976,976,1.108,0.428,0.05,0.0899,0.1243,0.02349,0.0424,0.050300000000000004,0.435,0.001185,0.005538,0.008839000000000001,0.0977,0.000244199,0.03,CAT UB-AM UB1000x400x976 20170912
UB1016x305x222,222,0.97,0.3,0.016,0.0211,0.02828,0.004077,0.008405000000000001,0.009803000000000001,0.3797,9.546e-05,0.0006364000000000001,0.00102,0.058100000000000006,3.9e-06,0.03,CAT UB-AM UB1016x305x222 20170912
UB1016x305x249,249,0.98,0.3,0.0165,0.026000000000000002,0.03168,0.004811,0.009818,0.01135,0.3897,0.0001175,0.0007836000000000001,0.001245,0.06090000000000002,5.82e-06,0.03,CAT UB-AM UB1016x305x249 20170912
UB1016x305x272,272,0.99,0.3,0.0165,0.031,0.034679999999999996,0.0055379999999999995,0.01119,0.012820000000000002,0.3996,0.00014,0.0009336,0.0014700000000000002,0.0635,8.35e-06,0.03,CAT UB-AM UB1016x305x272 20170912
UB1016x305x314,314,1.0,0.3,0.019100000000000002,0.0359,0.04004,0.006442,0.01288,0.01485,0.4011,0.0001623,0.001082,0.0017130000000000001,0.0637,1.26e-05,0.03,CAT UB-AM UB1016x305x314 20170912
UB1016x305x350,350,1.008,0.302,0.0211,0.04,0.04451,0.0072299999999999994,0.01434,0.01659,0.403,0.0001846,0.0012230000000000001,0.001941,0.06440000000000001,1.72e-05,0.03,CAT UB-AM UB1016x305x350 20170912
UB1016x305x393,393,1.016,0.303,0.024399999999999998,0.0439,0.050019999999999995,0.008077,0.0159,0.01854,0.40180000000000005,0.000205,0.001353,0.0021680000000000002,0.064,2.33e-05,0.03,CAT UB-AM UB1016x305x393 20170912
UB1016x305x415,415,1.02,0.304,0.026000000000000002,0.046,0.05287,0.008531,0.016730000000000002,0.01957,0.4017,0.0002171,0.001428,0.002298,0.0641,2.7e-05,0.03,CAT UB-AM UB1016x305x415 20170912
UB1016x305x438,438,1.026,0.305,0.0269,0.049,0.05563,0.009092,0.01772,0.02075,0.4043,0.00023359999999999999,0.001531,0.0024630000000000003,0.0648,3.18e-05,0.03,CAT UB-AM UB1016x305x438 20170912
UB1016x305x494,494,1.036,0.309,0.031,0.054,0.06291,0.01028,0.01984,0.02341,0.4042,0.0002682,0.0017360000000000001,0.002818,0.0653,4.4e-05,0.03,CAT UB-AM UB1016x305x494 20170912
UB1016x305x584,584,1.056,0.314,0.036000000000000004,0.064,0.07436999999999999,0.01246,0.023600000000000003,0.028040000000000002,0.4093,0.0003343,0.00213,0.0034750000000000002,0.067,7.15e-05,0.03,CAT UB-AM UB1016x305x584 20170912
UB1100x400x343,343,1.09,0.4,0.018000000000000002,0.031,0.04407,0.008783599999999999,0.01611,0.01828,0.44639999999999996,0.0003313,0.001657,0.002575,0.0867,1.1e-05,0.03,CAT UB-AM UB1100x400x343 20170912
UB1100x400x390,390,1.1,0.4,0.02,0.036000000000000004,0.05013,0.010163,0.01848,0.021,0.4502,0.0003849,0.0019240000000000001,0.0029950000000000003,0.0876,1.65e-05,0.03,CAT UB-AM UB1100x400x390 20170912
UB1100x400x433,433,1.108,0.402,0.022,0.04,0.05554,0.011365,0.02051,0.02338,0.45230000000000004,0.0004343,0.00216,0.00337,0.0885,2.23e-05,0.03,CAT UB-AM UB1100x400x433 20170912
UB1100x400x499,499,1.118,0.405,0.026000000000000002,0.045,0.06395,0.013049999999999999,0.023340000000000003,0.02682,0.4517,0.0005000999999999999,0.0024690000000000003,0.003879,0.0884,3.25e-05,0.03,CAT UB-AM UB1100x400x499 20170912
UB1100x400x548,548,1.1280000000000001,0.40700000000000003,0.028,0.05,0.07024999999999999,0.014565999999999999,0.025820000000000003,0.029730000000000003,0.45530000000000004,0.0005641,0.002771,0.004358,0.0896,4.34e-05,0.03,CAT UB-AM UB1100x400x548 20170912
UB1100x400x607,607,1.1380000000000001,0.41000000000000003,0.031,0.055,0.07773999999999999,0.016241,0.028540000000000003,0.033,0.457,0.0006347,0.0030960000000000002,0.004886000000000001,0.09030000000000002,5.789099999999999e-05,0.03,CAT UB-AM UB1100x400x607 20170912
