nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
RHS60x40x3.2,4.62,0.06,0.04,0.0032,,0.000588,2.78e-07,9.270000000000001e-06,1.15e-05,0.0218,1.4599999999999998e-07,7.2900000000000005e-06,8.64e-06,0.0157,3.08e-07,,CAT EN-RHS RHS60x40x3.2 20100728
SHS60x60x2.6,4.63,0.06,0.06,0.0026000000000000003,,0.0005899999999999999,3.22e-07,1.0700000000000001e-05,1.2600000000000001e-05,0.0234,3.22e-07,1.0700000000000001e-05,1.2600000000000001e-05,0.0234,5.02e-07,,CAT EN-SHS SHS60x60x2.6 20100728
RHS60x40x3.6,5.14,0.06,0.04,0.0036000000000000003,,0.000654,3.0399999999999997e-07,1.01e-05,1.27e-05,0.0216,1.59e-07,7.93e-06,9.5e-06,0.0156,3.38e-07,,CAT EN-RHS RHS60x40x3.6 20110705
SHS60x60x3,5.29,0.06,0.06,0.003,,0.000674,3.62e-07,1.2100000000000001e-05,1.43e-05,0.0232,3.62e-07,1.2100000000000001e-05,1.43e-05,0.0232,5.69e-07,,CAT EN-SHS SHS60x60x3 20110705
SHS60x60x3.2,5.62,0.06,0.06,0.0032,,0.000716,3.82e-07,1.27e-05,1.52e-05,0.023100000000000002,3.82e-07,1.27e-05,1.52e-05,0.023100000000000002,6.02e-07,,CAT EN-SHS SHS60x60x3.2 20100728
RHS60x40x4,5.64,0.06,0.04,0.004,,0.000719,3.2799999999999997e-07,1.09e-05,1.3800000000000002e-05,0.0214,1.7e-07,8.52e-06,1.0300000000000001e-05,0.0154,3.67e-07,,CAT EN-RHS RHS60x40x4 20110705
SHS60x60x3.6,6.27,0.06,0.06,0.0036000000000000003,,0.000798,4.19e-07,1.4000000000000001e-05,1.6800000000000002e-05,0.0229,4.19e-07,1.4000000000000001e-05,1.6800000000000002e-05,0.0229,6.65e-07,,CAT EN-SHS SHS60x60x3.6 20110705
RHS60x40x5,6.85,0.06,0.04,0.005,,0.000873,3.81e-07,1.27e-05,1.6400000000000002e-05,0.0209,1.9499999999999999e-07,9.770000000000001e-06,1.22e-05,0.015,4.3e-07,,CAT EN-RHS RHS60x40x5 20110705
RHS60x40x5.0,6.85,0.06,0.04,0.005,,0.000873,3.81e-07,1.27e-05,1.6400000000000002e-05,0.0209,1.9499999999999999e-07,9.770000000000001e-06,1.22e-05,0.015,4.3e-07,,CAT EN-RHS RHS60x40x5.0 20100728
SHS60x60x4,6.9,0.06,0.06,0.004,,0.000879,4.54e-07,1.5100000000000001e-05,1.83e-05,0.0227,4.54e-07,1.5100000000000001e-05,1.83e-05,0.0227,7.249999999999999e-07,,CAT EN-SHS SHS60x60x4 20110705
RHS60x40x6.3,8.31,0.06,0.04,0.0063,,0.00106,4.34e-07,1.45e-05,1.9200000000000003e-05,0.0202,2.19e-07,1.1000000000000001e-05,1.4200000000000001e-05,0.014400000000000001,4.95e-07,,CAT EN-RHS RHS60x40x6.3 20100728
SHS60x60x5,8.42,0.06,0.06,0.005,,0.00107,5.33e-07,1.7800000000000002e-05,2.19e-05,0.0223,5.33e-07,1.7800000000000002e-05,2.19e-05,0.0223,8.64e-07,,CAT EN-SHS SHS60x60x5 20110705
SHS60x60x6.3,10.3,0.06,0.06,0.0063,,0.00131,6.16e-07,2.05e-05,2.6000000000000002e-05,0.0217,6.16e-07,2.05e-05,2.6000000000000002e-05,0.0217,1.02e-06,,CAT EN-SHS SHS60x60x6.3 20100728
SHS60x60x7.1,11.4,0.06,0.06,0.007100000000000001,,0.00145,6.58e-07,2.19e-05,2.82e-05,0.0213,6.58e-07,2.19e-05,2.82e-05,0.0213,1.1e-06,,CAT EN-SHS SHS60x60x7.1 20110705
SHS60x60x8,12.5,0.06,0.06,0.008,,0.0015999999999999999,6.97e-07,2.32e-05,3.04e-05,0.0209,6.97e-07,2.32e-05,3.04e-05,0.0209,1.18e-06,,CAT EN-SHS SHS60x60x8 20110705
SHS70x70x3,6.24,0.07,0.07,0.003,,0.000794,5.9e-07,1.69e-05,1.9900000000000003e-05,0.0273,5.9e-07,1.69e-05,1.9900000000000003e-05,0.0273,9.22e-07,,CAT EN-SHS SHS70x70x3 20110705
SHS70x70x3.2,6.63,0.07,0.07,0.0032,,0.0008399999999999999,6.23e-07,1.7800000000000002e-05,2.1000000000000002e-05,0.0272,6.23e-07,1.7800000000000002e-05,2.1000000000000002e-05,0.0272,9.76e-07,,CAT EN-SHS SHS70x70x3.2 20100728
SHS70x70x3.6,7.4,0.07,0.07,0.0036000000000000003,,0.0009419999999999999,6.86e-07,1.9600000000000002e-05,2.33e-05,0.027,6.86e-07,1.9600000000000002e-05,2.33e-05,0.027,1.08e-06,,CAT EN-SHS SHS70x70x3.6 20110705
SHS70x70x4,8.15,0.07,0.07,0.004,,0.00104,7.47e-07,2.1300000000000003e-05,2.5500000000000003e-05,0.0268,7.47e-07,2.1300000000000003e-05,2.5500000000000003e-05,0.0268,1.18e-06,,CAT EN-SHS SHS70x70x4 20110705
SHS70x70x5,9.99,0.07,0.07,0.005,,0.0012699999999999999,8.85e-07,2.5300000000000002e-05,3.08e-05,0.0264,8.85e-07,2.5300000000000002e-05,3.08e-05,0.0264,1.42e-06,,CAT EN-SHS SHS70x70x5 20110705
SHS70x70x6.3,12.3,0.07,0.07,0.0063,,0.00156,1.04e-06,2.97e-05,3.69e-05,0.0258,1.04e-06,2.97e-05,3.69e-05,0.0258,1.69e-06,,CAT EN-SHS SHS70x70x6.3 20100728
SHS70x70x7.1,13.6,0.07,0.07,0.007100000000000001,,0.00173,1.12e-06,3.2000000000000005e-05,4.0300000000000004e-05,0.0254,1.12e-06,3.2000000000000005e-05,4.0300000000000004e-05,0.0254,1.8499999999999999e-06,,CAT EN-SHS SHS70x70x7.1 20110705
SHS70x70x8,15,0.07,0.07,0.008,,0.0019199999999999998,1.2e-06,3.4200000000000005e-05,4.38e-05,0.025,1.2e-06,3.4200000000000005e-05,4.38e-05,0.025,2e-06,,CAT EN-SHS SHS70x70x8 20110705
