nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS120x120x4,14.4,0.12,0.12,0.004,,,0.00184,4.1e-06,4.1e-06,0.0472,0.0472,6.84e-05,6.84e-05,7.97e-05,7.97e-05,6.35e-06,,,20110705,CAT EN-SHS SHS120x120x4 20110705
SHS100x100x5,14.7,0.1,0.1,0.005,,,0.00187,2.79e-06,2.79e-06,0.0386,0.0386,5.59e-05,5.59e-05,6.64e-05,6.64e-05,4.39e-06,,,20110705,CAT EN-SHS SHS100x100x5 20110705
SHS80x80x7.1,15.8,0.08,0.08,0.0071,,,0.00202,1.76e-06,1.76e-06,0.0295,0.0295,4.39e-05,4.39e-05,5.45e-05,5.45e-05,2.86e-06,,,20110705,CAT EN-SHS SHS80x80x7.1 20110705
SHS80x80x8,17.5,0.08,0.08,0.008,,,0.00224,1.89e-06,1.89e-06,0.0291,0.0291,4.73e-05,4.73e-05,5.95e-05,5.95e-05,3.12e-06,,,20110705,CAT EN-SHS SHS80x80x8 20110705
SHS120x120x5,17.8,0.12,0.12,0.005,,,0.00227,4.98e-06,4.98e-06,0.0468,0.0468,8.3e-05,8.3e-05,9.76e-05,9.76e-05,7.77e-06,,,20110705,CAT EN-SHS SHS120x120x5 20110705
SHS90x90x7.1,18.1,0.09,0.09,0.0071,,,0.0023,2.6e-06,2.6e-06,0.0336,0.0336,5.77e-05,5.77e-05,7.08e-05,7.08e-05,4.19e-06,,,20110705,CAT EN-SHS SHS90x90x7.1 20110705
SHS100x100x6.3,18.2,0.1,0.1,0.0063,,,0.00232,3.36e-06,3.36e-06,0.038,0.038,6.71e-05,6.71e-05,8.09e-05,8.09e-05,5.34e-06,,False,20100728,CAT EN-SHS SHS100x100x6.3 20100728
SHS80x80x8.8,19.0,0.08,0.08,0.0088,,,0.00242,2e-06,2e-06,0.0287,0.0287,5e-05,5e-05,6.37e-05,6.37e-05,3.32e-06,,,20110705,CAT EN-SHS SHS80x80x8.8 20110705
SHS90x90x8,20.1,0.09,0.09,0.008,,,0.00256,2.81e-06,2.81e-06,0.0332,0.0332,6.26e-05,6.26e-05,7.76e-05,7.76e-05,4.59e-06,,,20110705,CAT EN-SHS SHS90x90x8 20110705
SHS140x140x5,21.0,0.14,0.14,0.005,,,0.00267,8.07e-06,8.07e-06,0.055,0.055,0.000115,0.000115,0.000135,0.000135,1.253e-05,,,20110705,CAT EN-SHS SHS140x140x5 20110705
SHS90x90x8.8,21.8,0.09,0.09,0.0088,,,0.00278,2.99e-06,2.99e-06,0.0328,0.0328,6.65e-05,6.65e-05,8.34e-05,8.34e-05,4.92e-06,,,20110705,CAT EN-SHS SHS90x90x8.8 20110705
SHS120x120x6.3,22.2,0.12,0.12,0.0063,,,0.00282,6.03e-06,6.03e-06,0.0462,0.0462,0.0001,0.0001,0.00012,0.00012,9.5e-06,,False,20100728,CAT EN-SHS SHS120x120x6.3 20100728
SHS100x100x8,22.6,0.1,0.1,0.008,,,0.00288,4e-06,4e-06,0.0373,0.0373,7.99e-05,7.99e-05,9.82e-05,9.82e-05,6.46e-06,,,20110705,CAT EN-SHS SHS100x100x8 20110705
SHS90x90x10,24.3,0.09,0.09,0.01,,,0.00309,3.22e-06,3.22e-06,0.0323,0.0323,7.16e-05,7.16e-05,9.13e-05,9.13e-05,5.36e-06,,,20110705,CAT EN-SHS SHS90x90x10 20110705
SHS120x120x7.1,24.7,0.12,0.12,0.0071,,,0.00315,6.63e-06,6.63e-06,0.0459,0.0459,0.00011,0.00011,0.000133,0.000133,1.051e-05,,,20110705,CAT EN-SHS SHS120x120x7.1 20110705
SHS140x140x6.3,26.1,0.14,0.14,0.0063,,,0.00333,9.84e-06,9.84e-06,0.0544,0.0544,0.000141,0.000141,0.000166,0.000166,1.54e-05,,False,20100728,CAT EN-SHS SHS140x140x6.3 20100728
SHS180x180x5,27.3,0.18,0.18,0.005,,,0.00347,1.765e-05,1.765e-05,0.0713,0.0713,0.000196,0.000196,0.000227,0.000227,2.718e-05,,,20110705,CAT EN-SHS SHS180x180x5 20110705
SHS100x100x10,27.4,0.1,0.1,0.01,,,0.00349,4.62e-06,4.62e-06,0.0364,0.0364,9.24e-05,9.24e-05,0.000116,0.000116,7.61e-06,,,20110705,CAT EN-SHS SHS100x100x10 20110705
SHS120x120x8,27.6,0.12,0.12,0.008,,,0.00352,7.26e-06,7.26e-06,0.0455,0.0455,0.000121,0.000121,0.000146,0.000146,1.16e-05,,,20110705,CAT EN-SHS SHS120x120x8 20110705
SHS150x150x6.3,28.1,0.15,0.15,0.0063,,,0.00358,1.223e-05,1.223e-05,0.0585,0.0585,0.000163,0.000163,0.000192,0.000192,1.909e-05,,False,20100728,CAT EN-SHS SHS150x150x6.3 20100728
SHS140x140x7.1,29.2,0.14,0.14,0.0071,,,0.00372,1.086e-05,1.086e-05,0.054,0.054,0.000155,0.000155,0.000184,0.000184,1.709e-05,,,20110705,CAT EN-SHS SHS140x140x7.1 20110705
SHS160x160x6.3,30.1,0.16,0.16,0.0063,,,0.00383,1.499e-05,1.499e-05,0.0626,0.0626,0.000187,0.000187,0.00022,0.00022,2.333e-05,,False,20100728,CAT EN-SHS SHS160x160x6.3 20100728
