nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
CHS219x6.3,33.1,0.2191,,0.0063,,0.00421,2.386e-05,0.000218,0.00028500000000000004,0.07530000000000002,2.386e-05,0.000218,0.00028500000000000004,0.07530000000000002,4.772e-05,,CAT EN-CHS CHS219x6.3 20100728
CHS219x8.0,41.6,0.2191,,0.008,,0.00531,2.9599999999999998e-05,0.00027,0.000357,0.0747,2.9599999999999998e-05,0.00027,0.000357,0.0747,5.919e-05,,CAT EN-CHS CHS219x8.0 20100728
CHS219x10.0,51.6,0.2191,,0.01,,0.0065699999999999995,3.598e-05,0.000328,0.000438,0.074,3.598e-05,0.000328,0.000438,0.074,7.197e-05,,CAT EN-CHS CHS219x10.0 20100728
CHS219x12.5,63.7,0.2191,,0.0125,,0.00811,4.345e-05,0.000397,0.0005340000000000001,0.0732,4.345e-05,0.000397,0.0005340000000000001,0.0732,8.689e-05,,CAT EN-CHS CHS219x12.5 20100728
CHS219x14.2,71.8,0.2191,,0.014199999999999999,,0.009139999999999999,4.82e-05,0.00044,0.0005970000000000001,0.0726,4.82e-05,0.00044,0.0005970000000000001,0.0726,9.64e-05,,CAT EN-CHS CHS219x14.2 20100728
CHS219x16.0,80.1,0.2191,,0.016,,0.010199999999999999,5.2969999999999996e-05,0.00048300000000000003,0.000661,0.07200000000000001,5.2969999999999996e-05,0.00048300000000000003,0.000661,0.07200000000000001,0.0001059,,CAT EN-CHS CHS219x16.0 20100728
CHS219x20.0,98.2,0.2191,,0.02,,0.012499999999999999,6.261e-05,0.000572,0.000795,0.0707,6.261e-05,0.000572,0.000795,0.0707,0.0001252,,CAT EN-CHS CHS219x20.0 20100728
CHS245x5.0,29.5,0.2445,,0.005,,0.00376,2.699e-05,0.000221,0.00028700000000000004,0.08470000000000001,2.699e-05,0.000221,0.00028700000000000004,0.08470000000000001,5.397e-05,,CAT EN-CHS CHS245x5.0 20100728
CHS245x5.6,33,0.2445,,0.0056,,0.0042,3e-05,0.000245,0.00032,0.0845,3e-05,0.000245,0.00032,0.0845,6e-05,,CAT EN-CHS CHS245x5.6 20110705
CHS245x6.3,37,0.2445,,0.0063,,0.00471,3.346e-05,0.000274,0.00035800000000000003,0.08420000000000001,3.346e-05,0.000274,0.00035800000000000003,0.08420000000000001,6.692e-05,,CAT EN-CHS CHS245x6.3 20100728
CHS245x8.0,46.7,0.2445,,0.008,,0.00594,4.16e-05,0.00034,0.00044800000000000005,0.08370000000000001,4.16e-05,0.00034,0.00044800000000000005,0.08370000000000001,8.321e-05,,CAT EN-CHS CHS245x8.0 20100728
CHS245x10.0,57.8,0.2445,,0.01,,0.00737,5.073e-05,0.000415,0.00055,0.083,5.073e-05,0.000415,0.00055,0.083,0.0001015,,CAT EN-CHS CHS245x10.0 20100728
CHS245x12.5,71.5,0.2445,,0.0125,,0.00911,6.147e-05,0.0005030000000000001,0.0006730000000000001,0.0821,6.147e-05,0.0005030000000000001,0.0006730000000000001,0.0821,0.000123,,CAT EN-CHS CHS245x12.5 20100728
CHS245x14.2,80.6,0.2445,,0.014199999999999999,,0.01027,6.837e-05,0.000559,0.000754,0.0816,6.837e-05,0.000559,0.000754,0.0816,0.0001367,,CAT EN-CHS CHS245x14.2 20100728
CHS245x16.0,90.2,0.2445,,0.016,,0.0115,7.533e-05,0.000616,0.0008370000000000001,0.081,7.533e-05,0.000616,0.0008370000000000001,0.081,0.0001507,,CAT EN-CHS CHS245x16.0 20100728
CHS245x20.0,110.7,0.2445,,0.02,,0.0141,8.957e-05,0.000733,0.001011,0.0797,8.957e-05,0.000733,0.001011,0.0797,0.0001791,,CAT EN-CHS CHS245x20.0 20100728
CHS245x25.0,135,0.2445,,0.025,,0.0172,0.0001052,0.0008600000000000001,0.0012100000000000001,0.07810000000000002,0.0001052,0.0008600000000000001,0.0012100000000000001,0.07810000000000002,0.0002103,,CAT EN-CHS CHS245x25.0 20100728
CHS273x5.0,33,0.273,,0.005,,0.00421,3.781e-05,0.000277,0.000359,0.0948,3.781e-05,0.000277,0.000359,0.0948,7.562e-05,,CAT EN-CHS CHS273x5.0 20100728
CHS273x5.6,36.9,0.273,,0.0056,,0.0047,4.207e-05,0.000308,0.0004,0.09460000000000002,4.207e-05,0.000308,0.0004,0.09460000000000002,8.413e-05,,CAT EN-CHS CHS273x5.6 20110705
CHS273x6.3,41.4,0.273,,0.0063,,0.00528,4.696e-05,0.000344,0.00044800000000000005,0.0943,4.696e-05,0.000344,0.00044800000000000005,0.0943,9.392e-05,,CAT EN-CHS CHS273x6.3 20100728
CHS273x8.0,52.3,0.273,,0.008,,0.00666,5.852e-05,0.000429,0.000562,0.0937,5.852e-05,0.000429,0.000562,0.0937,0.000117,,CAT EN-CHS CHS273x8.0 20100728
CHS273x10.0,64.9,0.273,,0.01,,0.00826,7.154e-05,0.0005240000000000002,0.000692,0.09310000000000002,7.154e-05,0.0005240000000000002,0.000692,0.09310000000000002,0.0001431,,CAT EN-CHS CHS273x10.0 20100728
CHS273x12.5,80.3,0.273,,0.0125,,0.010199999999999999,8.697e-05,0.0006370000000000001,0.000849,0.0922,8.697e-05,0.0006370000000000001,0.000849,0.0922,0.000174,,CAT EN-CHS CHS273x12.5 20100728
CHS273x14.2,90.6,0.273,,0.014199999999999999,,0.0115,9.695e-05,0.00071,0.000952,0.0916,9.695e-05,0.00071,0.000952,0.0916,0.0001939,,CAT EN-CHS CHS273x14.2 20100728
CHS273x16.0,101,0.273,,0.016,,0.0129,0.0001071,0.0007840000000000001,0.0010580000000000001,0.091,0.0001071,0.0007840000000000001,0.0010580000000000001,0.091,0.0002141,,CAT EN-CHS CHS273x16.0 20100728
CHS273x20.0,125,0.273,,0.02,,0.0159,0.000128,0.000938,0.001283,0.0897,0.000128,0.000938,0.001283,0.0897,0.000256,,CAT EN-CHS CHS273x20.0 20100728
CHS273x25.0,153,0.273,,0.025,,0.0195,0.0001513,0.001108,0.001543,0.0881,0.0001513,0.001108,0.001543,0.0881,0.0003025,,CAT EN-CHS CHS273x25.0 20100728
CHS324x5.0,39.3,0.32389999999999997,,0.005,,0.00501,6.369e-05,0.000393,0.000509,0.113,6.369e-05,0.000393,0.000509,0.113,0.0001274,,CAT EN-CHS CHS324x5.0 20100728
CHS324x5.6,44,0.32389999999999997,,0.0056,,0.0056,7.094e-05,0.000438,0.000567,0.113,7.094e-05,0.000438,0.000567,0.113,0.00014188,,CAT EN-CHS CHS324x5.6 20110705
CHS324x6.3,49.3,0.32389999999999997,,0.0063,,0.00629,7.929e-05,0.00049,0.0006360000000000001,0.112,7.929e-05,0.00049,0.0006360000000000001,0.112,0.0001586,,CAT EN-CHS CHS324x6.3 20100728
CHS324x8.0,62.3,0.32389999999999997,,0.008,,0.00794,9.91e-05,0.000612,0.000799,0.112,9.91e-05,0.000612,0.000799,0.112,0.0001982,,CAT EN-CHS CHS324x8.0 20100728
CHS324x10.0,77.4,0.32389999999999997,,0.01,,0.009859999999999999,0.0001216,0.000751,0.000986,0.111,0.0001216,0.000751,0.000986,0.111,0.0002432,,CAT EN-CHS CHS324x10.0 20100728
CHS324x12.5,96,0.32389999999999997,,0.0125,,0.012199999999999999,0.0001485,0.0009170000000000001,0.001213,0.11,0.0001485,0.0009170000000000001,0.001213,0.11,0.0002969,,CAT EN-CHS CHS324x12.5 20100728
CHS324x14.2,108.5,0.32389999999999997,,0.014199999999999999,,0.0138,0.000166,0.001025,0.001363,0.11,0.000166,0.001025,0.001363,0.11,0.000332,,CAT EN-CHS CHS324x14.2 20100728
CHS324x16.0,121,0.32389999999999997,,0.016,,0.0155,0.0001839,0.001136,0.001518,0.109,0.0001839,0.001136,0.001518,0.109,0.0003678,,CAT EN-CHS CHS324x16.0 20100728
CHS324x19.0,143,0.32389999999999997,,0.019,,0.0182,0.00021231,0.001311,0.0017690000000000002,0.108,0.00021231,0.001311,0.0017690000000000002,0.108,0.00042462,,CAT EN-CHS CHS324x19.0 20110705
CHS324x20.0,150,0.32389999999999997,,0.02,,0.0191,0.0002214,0.0013670000000000002,0.00185,0.108,0.0002214,0.0013670000000000002,0.00185,0.108,0.0004428,,CAT EN-CHS CHS324x20.0 20100728
CHS324x22.0,164,0.32389999999999997,,0.022,,0.0209,0.00023899,0.001476,0.002009,0.107,0.00023899,0.001476,0.002009,0.107,0.00047797,,CAT EN-CHS CHS324x22.0 20110705
CHS324x25.0,184,0.32389999999999997,,0.025,,0.0235,0.000264,0.0016300000000000002,0.002239,0.106,0.000264,0.0016300000000000002,0.002239,0.106,0.0005280000000000001,,CAT EN-CHS CHS324x25.0 20100728
CHS356x6.3,54.3,0.3556,,0.0063,,0.0069099999999999995,0.0001055,0.000593,0.000769,0.124,0.0001055,0.000593,0.000769,0.124,0.0002109,,CAT EN-CHS CHS356x6.3 20100728
CHS356x8.0,68.6,0.3556,,0.008,,0.00874,0.000132,0.000742,0.0009670000000000001,0.123,0.000132,0.000742,0.0009670000000000001,0.123,0.000264,,CAT EN-CHS CHS356x8.0 20100728
CHS356x10.0,85.2,0.3556,,0.01,,0.0109,0.00016219999999999999,0.000912,0.001195,0.122,0.00016219999999999999,0.000912,0.001195,0.122,0.0003245,,CAT EN-CHS CHS356x10.0 20100728
CHS356x12.5,106,0.3556,,0.0125,,0.0135,0.0001985,0.0011170000000000002,0.001472,0.121,0.0001985,0.0011170000000000002,0.001472,0.121,0.000397,,CAT EN-CHS CHS356x12.5 20100728
CHS356x14.2,120,0.3556,,0.014199999999999999,,0.0152,0.00022229999999999998,0.00125,0.0016560000000000001,0.121,0.00022229999999999998,0.00125,0.0016560000000000001,0.121,0.00044459999999999996,,CAT EN-CHS CHS356x14.2 20100728
CHS356x16.0,134,0.3556,,0.016,,0.0171,0.0002466,0.001387,0.0018470000000000001,0.12,0.0002466,0.001387,0.0018470000000000001,0.12,0.0004933,,CAT EN-CHS CHS356x16.0 20100728
CHS356x19.0,158,0.3556,,0.019,,0.0201,0.00028544999999999997,0.001605,0.0021550000000000002,0.11900000000000001,0.00028544999999999997,0.001605,0.0021550000000000002,0.11900000000000001,0.00057091,,CAT EN-CHS CHS356x19.0 20110705
CHS356x20.0,166,0.3556,,0.02,,0.0211,0.0002979,0.0016760000000000002,0.002255,0.11900000000000001,0.0002979,0.0016760000000000002,0.002255,0.11900000000000001,0.0005958,,CAT EN-CHS CHS356x20.0 20100728
CHS356x22.0,181,0.3556,,0.022,,0.0231,0.00032214,0.001812,0.002452,0.11800000000000001,0.00032214,0.001812,0.002452,0.11800000000000001,0.00064428,,CAT EN-CHS CHS356x22.0 20110705
CHS356x25.0,204,0.3556,,0.025,,0.026,0.0003568,0.002007,0.002738,0.117,0.0003568,0.002007,0.002738,0.117,0.0007134999999999999,,CAT EN-CHS CHS356x25.0 20100728
CHS406x6.3,62.2,0.4064,,0.0063,,0.00792,0.0001585,0.0007800000000000001,0.0010090000000000001,0.14100000000000001,0.0001585,0.0007800000000000001,0.0010090000000000001,0.14100000000000001,0.000317,,CAT EN-CHS CHS406x6.3 20100728
CHS406x8.0,78.6,0.4064,,0.008,,0.01,0.0001987,0.000978,0.00127,0.14100000000000001,0.0001987,0.000978,0.00127,0.14100000000000001,0.0003975,,CAT EN-CHS CHS406x8.0 20100728
CHS406x10.0,97.8,0.4064,,0.01,,0.012499999999999999,0.0002448,0.0012050000000000001,0.001572,0.14,0.0002448,0.0012050000000000001,0.001572,0.14,0.0004895,,CAT EN-CHS CHS406x10.0 20100728
CHS406x12.5,121,0.4064,,0.0125,,0.0155,0.0003003,0.0014780000000000001,0.00194,0.139,0.0003003,0.0014780000000000001,0.00194,0.139,0.0006006,,CAT EN-CHS CHS406x12.5 20100728
CHS406x14.2,137,0.4064,,0.014199999999999999,,0.017499999999999998,0.0003369,0.0016580000000000002,0.0021850000000000003,0.139,0.0003369,0.0016580000000000002,0.0021850000000000003,0.139,0.0006737,,CAT EN-CHS CHS406x14.2 20100728
CHS406x16.0,154,0.4064,,0.016,,0.0196,0.0003745,0.001843,0.0024400000000000003,0.138,0.0003745,0.001843,0.0024400000000000003,0.138,0.000749,,CAT EN-CHS CHS406x16.0 20100728
CHS406x19.0,182,0.4064,,0.019,,0.0231,0.00043484999999999997,0.00214,0.002854,0.137,0.00043484999999999997,0.00214,0.002854,0.137,0.00086969,,CAT EN-CHS CHS406x19.0 20110705
CHS406x20.0,191,0.4064,,0.02,,0.0243,0.0004543,0.002236,0.0029890000000000003,0.137,0.0004543,0.002236,0.0029890000000000003,0.137,0.0009086,,CAT EN-CHS CHS406x20.0 20100728
CHS406x22.0,209,0.4064,,0.022,,0.0266,0.00049233,0.0024230000000000002,0.0032540000000000004,0.136,0.00049233,0.0024230000000000002,0.0032540000000000004,0.136,0.00098465,,CAT EN-CHS CHS406x22.0 20110705
CHS406x25.0,235,0.4064,,0.025,,0.03,0.000547,0.0026920000000000004,0.0036420000000000003,0.135,0.000547,0.0026920000000000004,0.0036420000000000003,0.135,0.001094,,CAT EN-CHS CHS406x25.0 20100728
CHS406x28.0,261,0.4064,,0.028,,0.033299999999999996,0.00059902,0.002948,0.004017000000000001,0.134,0.00059902,0.002948,0.004017000000000001,0.134,0.00119804,,CAT EN-CHS CHS406x28.0 20110705
CHS406x30.0,278,0.4064,,0.03,,0.0355,0.0006322,0.003111,0.004259000000000001,0.133,0.0006322,0.003111,0.004259000000000001,0.133,0.001265,,CAT EN-CHS CHS406x30.0 20100728
CHS406x32.0,295,0.4064,,0.032,,0.0376,0.00066432,0.003269,0.004497,0.133,0.00066432,0.003269,0.004497,0.133,0.00132864,,CAT EN-CHS CHS406x32.0 20110705
CHS406x36.0,329,0.4064,,0.036000000000000004,,0.0419,0.0007252,0.003569,0.004955,0.132,0.0007252,0.003569,0.004955,0.132,0.0014504,,CAT EN-CHS CHS406x36.0 20110705
CHS406x40.0,361,0.4064,,0.04,,0.046,0.0007819,0.0038480000000000003,0.005391,0.13,0.0007819,0.0038480000000000003,0.005391,0.13,0.00156,,CAT EN-CHS CHS406x40.0 20100728
CHS457x6.3,70,0.457,,0.0063,,0.008919999999999999,0.0002265,0.000991,0.00128,0.159,0.0002265,0.000991,0.00128,0.159,0.0004531,,CAT EN-CHS CHS457x6.3 20100728
CHS457x8.0,88.6,0.457,,0.008,,0.0113,0.0002845,0.001245,0.001613,0.159,0.0002845,0.001245,0.001613,0.159,0.000569,,CAT EN-CHS CHS457x8.0 20100728
CHS457x10.0,110,0.457,,0.01,,0.013999999999999999,0.0003509,0.001536,0.001998,0.158,0.0003509,0.001536,0.001998,0.158,0.0007018,,CAT EN-CHS CHS457x10.0 20100728
CHS457x12.5,137,0.457,,0.0125,,0.017499999999999998,0.00043149999999999997,0.0018880000000000001,0.00247,0.157,0.00043149999999999997,0.0018880000000000001,0.00247,0.157,0.0008629,,CAT EN-CHS CHS457x12.5 20100728
CHS457x14.2,155,0.457,,0.014199999999999999,,0.019799999999999998,0.0004846,0.002121,0.002785,0.157,0.0004846,0.002121,0.002785,0.157,0.0009693,,CAT EN-CHS CHS457x14.2 20100728
CHS457x16.0,174,0.457,,0.016,,0.022199999999999998,0.0005396,0.0023610000000000003,0.0031130000000000003,0.156,0.0005396,0.0023610000000000003,0.0031130000000000003,0.156,0.0010789999999999999,,CAT EN-CHS CHS457x16.0 20100728
CHS457x20.0,216,0.457,,0.02,,0.0275,0.0006568,0.0028740000000000003,0.0038220000000000003,0.155,0.0006568,0.0028740000000000003,0.0038220000000000003,0.155,0.001314,,CAT EN-CHS CHS457x20.0 20100728
CHS457x22.0,236,0.457,,0.022,,0.0301,0.00071295,0.0031200000000000004,0.004166,0.154,0.00071295,0.0031200000000000004,0.004166,0.154,0.0014259,,CAT EN-CHS CHS457x22.0 20110705
CHS457x25.0,266,0.457,,0.025,,0.0339,0.0007942,0.0034750000000000002,0.004671000000000001,0.153,0.0007942,0.0034750000000000002,0.004671000000000001,0.153,0.001588,,CAT EN-CHS CHS457x25.0 20100728
CHS457x28.0,296,0.457,,0.028,,0.0377,0.00087184,0.0038150000000000002,0.0051600000000000005,0.152,0.00087184,0.0038150000000000002,0.0051600000000000005,0.152,0.00174368,,CAT EN-CHS CHS457x28.0 20110705
CHS457x30.0,316,0.457,,0.03,,0.0402,0.0009217,0.004034,0.005479,0.151,0.0009217,0.004034,0.005479,0.151,0.001843,,CAT EN-CHS CHS457x30.0 20100728
CHS457x32.0,335,0.457,,0.032,,0.042699999999999995,0.0009701299999999999,0.004246000000000001,0.005791,0.151,0.0009701299999999999,0.004246000000000001,0.005791,0.151,0.00194027,,CAT EN-CHS CHS457x32.0 20110705
CHS457x36.0,374,0.457,,0.036000000000000004,,0.047599999999999996,0.00106261,0.0046500000000000005,0.006396000000000001,0.149,0.00106261,0.0046500000000000005,0.006396000000000001,0.149,0.0021252099999999998,,CAT EN-CHS CHS457x36.0 20110705
CHS457x40.0,411,0.457,,0.04,,0.052399999999999995,0.00115,0.005031,0.0069770000000000006,0.148,0.00115,0.005031,0.0069770000000000006,0.148,0.002299,,CAT EN-CHS CHS457x40.0 20100728
CHS457x45.0,457,0.457,,0.045,,0.058199999999999995,0.00125059,0.0054730000000000004,0.0076690000000000005,0.147,0.00125059,0.0054730000000000004,0.0076690000000000005,0.147,0.00250118,,CAT EN-CHS CHS457x45.0 20110705
CHS508x6.3,77.9,0.508,,0.0063,,0.00993,0.0003125,0.00123,0.0015860000000000002,0.177,0.0003125,0.00123,0.0015860000000000002,0.177,0.0006249,,CAT EN-CHS CHS508x6.3 20100728
CHS508x8.0,98.6,0.508,,0.008,,0.0126,0.0003928,0.001546,0.002,0.177,0.0003928,0.001546,0.002,0.177,0.0007856,,CAT EN-CHS CHS508x8.0 20100728
CHS508x10.0,123,0.508,,0.01,,0.0156,0.0004852,0.00191,0.00248,0.176,0.0004852,0.00191,0.00248,0.176,0.0009704,,CAT EN-CHS CHS508x10.0 20100728
CHS508x12.5,153,0.508,,0.0125,,0.0195,0.0005976,0.002353,0.0030700000000000002,0.17500000000000002,0.0005976,0.002353,0.0030700000000000002,0.17500000000000002,0.0011949999999999999,,CAT EN-CHS CHS508x12.5 20100728
CHS508x14.2,173,0.508,,0.014199999999999999,,0.022,0.000672,0.0026460000000000003,0.0034630000000000004,0.17500000000000002,0.000672,0.0026460000000000003,0.0034630000000000004,0.17500000000000002,0.001344,,CAT EN-CHS CHS508x14.2 20100728
CHS508x16.0,194,0.508,,0.016,,0.0247,0.0007490999999999999,0.0029490000000000002,0.0038740000000000003,0.17400000000000002,0.0007490999999999999,0.0029490000000000002,0.0038740000000000003,0.17400000000000002,0.001498,,CAT EN-CHS CHS508x16.0 20100728
CHS508x20.0,241,0.508,,0.02,,0.030699999999999998,0.0009142999999999999,0.0036000000000000003,0.004766,0.17300000000000001,0.0009142999999999999,0.0036000000000000003,0.004766,0.17300000000000001,0.001829,,CAT EN-CHS CHS508x20.0 20100728
CHS508x22.0,264,0.508,,0.022,,0.0336,0.00099376,0.0039120000000000005,0.005200000000000001,0.17200000000000001,0.00099376,0.0039120000000000005,0.005200000000000001,0.17200000000000001,0.00198751,,CAT EN-CHS CHS508x22.0 20110705
CHS508x25.0,298,0.508,,0.025,,0.037899999999999996,0.0011099999999999999,0.004367,0.005837,0.171,0.0011099999999999999,0.004367,0.005837,0.171,0.002218,,CAT EN-CHS CHS508x25.0 20100728
CHS508x28.0,331,0.508,,0.028,,0.0422,0.00122016,0.004804,0.006459,0.17,0.00122016,0.004804,0.006459,0.17,0.00244032,,CAT EN-CHS CHS508x28.0 20110705
CHS508x30.0,354,0.508,,0.03,,0.0451,0.001292,0.005086,0.006864,0.169,0.001292,0.005086,0.006864,0.169,0.002584,,CAT EN-CHS CHS508x30.0 20100728
CHS508x32.0,376,0.508,,0.032,,0.0479,0.00136141,0.00536,0.007261,0.169,0.00136141,0.00536,0.007261,0.169,0.00272282,,CAT EN-CHS CHS508x32.0 20110705
CHS508x36.0,419,0.508,,0.036000000000000004,,0.053399999999999996,0.00149523,0.005887000000000001,0.008036,0.167,0.00149523,0.005887000000000001,0.008036,0.167,0.00299046,,CAT EN-CHS CHS508x36.0 20110705
CHS508x40.0,462,0.508,,0.04,,0.0588,0.001622,0.006385,0.008782,0.166,0.001622,0.006385,0.008782,0.166,0.003244,,CAT EN-CHS CHS508x40.0 20100728
CHS508x45.0,514,0.508,,0.045,,0.0655,0.0017705099999999999,0.006971000000000001,0.009677,0.164,0.0017705099999999999,0.006971000000000001,0.009677,0.164,0.0035410199999999998,,CAT EN-CHS CHS508x45.0 20110705
CHS508x50.0,565,0.508,,0.05,,0.07189999999999999,0.0019089999999999999,0.007515000000000001,0.010530000000000001,0.163,0.0019089999999999999,0.007515000000000001,0.010530000000000001,0.163,0.0038179999999999998,,CAT EN-CHS CHS508x50.0 20100728
