nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
IPEA400,57.4,0.397,0.18,0.007,0.012,,0.0002029,0.0010220000000000001,0.001144,0.167,1.171e-05,0.00013000000000000002,0.000202,0.04,3.62e-07,0.021,CAT IPE-AM IPEA400 20170912
IPE400,66.3,0.4,0.18,0.0086,0.0135,,0.00023129999999999998,0.00116,0.001307,0.166,1.318e-05,0.000146,0.000229,0.0395,5.13e-07,0.021,CAT IPE-AM IPE400 20170912
IPEO400,75.7,0.404,0.182,0.009700000000000002,0.0155,,0.0002675,0.001324,0.001502,0.167,1.564e-05,0.000172,0.00026900000000000003,0.040299999999999996,7.33e-07,0.021,CAT IPE-AM IPEO400 20170912
IPEV400,84,0.40800000000000003,0.182,0.0106,0.0175,,0.0003014,0.001477,0.0016810000000000002,0.168,1.766e-05,0.000194,0.000304,0.04059999999999999,9.96e-07,0.021,CAT IPE-AM IPEV400 20170912
IPEA450,67.2,0.447,0.19,0.0076,0.0131,,0.00029759999999999997,0.0013310000000000002,0.001494,0.187,1.502e-05,0.00015800000000000002,0.000246,0.0419,4.7099999999999997e-07,0.021,CAT IPE-AM IPEA450 20170912
IPE450,77.6,0.45,0.19,0.0094,0.0146,,0.0003374,0.0015,0.0017020000000000002,0.185,1.676e-05,0.00017600000000000002,0.00027600000000000004,0.0412,6.68e-07,0.021,CAT IPE-AM IPE450 20170912
IPEO450,92.4,0.456,0.192,0.011,0.0176,,0.00040919999999999997,0.0017950000000000002,0.002046,0.187,2.085e-05,0.00021700000000000002,0.000341,0.042100000000000005,1.09e-06,0.021,CAT IPE-AM IPEO450 20170912
IPEV450,107,0.46,0.194,0.012400000000000001,0.019600000000000003,,0.000462,0.0020080000000000002,0.002301,0.187,2.397e-05,0.00024700000000000004,0.000389,0.0426,1.49e-06,0.021,CAT IPE-AM IPEV450 20170912
IPEA500,79.4,0.497,0.2,0.008400000000000001,0.0145,,0.00042929999999999997,0.0017280000000000002,0.001946,0.20600000000000002,1.939e-05,0.000194,0.000302,0.0438,6.43e-07,0.021,CAT IPE-AM IPEA500 20170912
IPE500,90.7,0.5,0.2,0.010199999999999999,0.016,,0.000482,0.00193,0.002194,0.20400000000000001,2.1419999999999998e-05,0.00021400000000000002,0.00033600000000000004,0.0431,8.91e-07,0.021,CAT IPE-AM IPE500 20170912
