nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
IPE300,42.2,0.3,0.15,0.0071,0.0107,0.015,0.00538,8.356e-05,6.04e-06,0.125,0.0335,0.000557,8.05e-05,0.000628,0.000125,1.99e-07,1.26e-07,FALSE,20170912,CAT IPE-AM IPE300 20170912
IPEO270,42.3,0.274,0.136,0.0075,0.0122,0.015,0.00538,6.947e-05,5.14e-06,0.114,0.0309,0.000507,7.55e-05,0.000575,0.000118,2.5e-07,8.76e-08,FALSE,20170912,CAT IPE-AM IPEO270 20170912
IPEA330,43.0,0.327,0.16,0.0065,0.01,0.018,0.00547,0.0001023,6.85e-06,0.137,0.0354,0.000626,8.56e-05,0.000702,0.000133,1.9600000000000003e-07,1.72e-07,FALSE,20170912,CAT IPE-AM IPEA330 20170912
IPE330,49.1,0.33,0.16,0.0075,0.0115,0.018,0.00626,0.0001177,7.88e-06,0.137,0.0355,0.000713,9.85e-05,0.000804,0.000154,2.81e-07,1.99e-07,FALSE,20170912,CAT IPE-AM IPE330 20170912
IPEO300,49.3,0.304,0.152,0.008,0.0127,0.015,0.00628,9.994e-05,7.46e-06,0.126,0.0345,0.000658,9.81e-05,0.000744,0.000153,3.1e-07,1.58e-07,FALSE,20170912,CAT IPE-AM IPEO300 20170912
IPEA360,50.2,0.3576,0.17,0.0066,0.0115,0.018,0.0064,0.0001452,9.44e-06,0.151,0.0384,0.000812,0.000111,0.000907,0.000172,2.74e-07,2.82e-07,FALSE,20170912,CAT IPE-AM IPEA360 20170912
IPEO330,57.0,0.334,0.162,0.0085,0.0135,0.018,0.00726,0.0001391,9.6e-06,0.138,0.0364,0.000833,0.000119,0.000943,0.000185,4.22e-07,2.46e-07,FALSE,20170912,CAT IPE-AM IPEO330 20170912
IPE360,57.1,0.36,0.17,0.008,0.0127,0.018,0.00727,0.0001627,1.043e-05,0.15,0.0379,0.000904,0.000123,0.001019,0.000191,3.74e-07,3.14e-07,FALSE,20170912,CAT IPE-AM IPE360 20170912
IPEA400,57.4,0.397,0.18,0.007,0.012,0.021,0.00731,0.0002029,1.171e-05,0.167,0.04,0.001022,0.00013,0.001144,0.000202,3.62e-07,4.32e-07,FALSE,20170912,CAT IPE-AM IPEA400 20170912
IPEO360,66.0,0.364,0.172,0.0092,0.0147,0.018,0.00841,0.0001905,1.251e-05,0.151,0.0386,0.001047,0.000146,0.001186,0.000227,5.57e-07,3.8e-07,FALSE,20170912,CAT IPE-AM IPEO360 20170912
IPE400,66.3,0.4,0.18,0.0086,0.0135,0.021,0.00845,0.0002313,1.318e-05,0.166,0.0395,0.00116,0.000146,0.001307,0.000229,5.13e-07,4.9e-07,FALSE,20170912,CAT IPE-AM IPE400 20170912
IPEA450,67.2,0.447,0.19,0.0076,0.0131,0.021,0.00856,0.0002976,1.502e-05,0.187,0.0419,0.001331,0.000158,0.001494,0.000246,4.71e-07,7.05e-07,FALSE,20170912,CAT IPE-AM IPEA450 20170912
IPEO400,75.7,0.404,0.182,0.0097,0.0155,0.021,0.00964,0.0002675,1.564e-05,0.167,0.0403,0.001324,0.000172,0.001502,0.000269,7.33e-07,5.88e-07,FALSE,20170912,CAT IPE-AM IPEO400 20170912
IPE450,77.6,0.45,0.19,0.0094,0.0146,0.021,0.00988,0.0003374,1.676e-05,0.185,0.0412,0.0015,0.000176,0.001702,0.000276,6.68e-07,7.91e-07,FALSE,20170912,CAT IPE-AM IPE450 20170912
IPEA500,79.4,0.497,0.2,0.0084,0.0145,0.021,0.01011,0.0004293,1.939e-05,0.206,0.0438,0.001728,0.000194,0.001946,0.000302,6.43e-07,1.125e-06,FALSE,20170912,CAT IPE-AM IPEA500 20170912
IPEV400,84.0,0.408,0.182,0.0106,0.0175,0.021,0.0107,0.0003014,1.766e-05,0.168,0.0406,0.001477,0.000194,0.001681,0.000304,9.96e-07,6.73e-07,FALSE,20170912,CAT IPE-AM IPEV400 20170912
IPE500,90.7,0.5,0.2,0.0102,0.016,0.021,0.01155,0.000482,2.142e-05,0.204,0.0431,0.00193,0.000214,0.002194,0.000336,8.91e-07,1.249e-06,FALSE,20170912,CAT IPE-AM IPE500 20170912
IPEA550,92.1,0.547,0.21,0.009,0.0157,0.024,0.01173,0.0005998,2.432e-05,0.226,0.0455,0.002193,0.000232,0.002475,0.000362,8.93e-07,1.71e-06,FALSE,20170912,CAT IPE-AM IPEA550 20170912
IPEO450,92.4,0.456,0.192,0.011,0.0176,0.021,0.01177,0.0004092,2.085e-05,0.187,0.0421,0.001795,0.000217,0.002046,0.000341,1.09e-06,9.98e-07,FALSE,20170912,CAT IPE-AM IPEO450 20170912
IPE550,106.0,0.55,0.21,0.0111,0.0172,0.024,0.01344,0.0006712,2.668e-05,0.224,0.0445,0.00244,0.000254,0.002787,0.000401,1.23e-06,1.884e-06,FALSE,20170912,CAT IPE-AM IPE550 20170912
IPEV450,107.0,0.46,0.194,0.0124,0.0196,0.021,0.0132,0.000462,2.397e-05,0.187,0.0426,0.002008,0.000247,0.002301,0.000389,1.49e-06,1.162e-06,FALSE,20170912,CAT IPE-AM IPEV450 20170912
IPEO500,107.0,0.506,0.202,0.012,0.019,0.021,0.01367,0.0005778,2.622e-05,0.206,0.0438,0.002284,0.00026,0.002613,0.000409,1.43e-06,1.548e-06,FALSE,20170912,CAT IPE-AM IPEO500 20170912
IPEA600,108.0,0.597,0.22,0.0098,0.0175,0.024,0.0137,0.0008292,3.116e-05,0.246,0.0477,0.002778,0.000283,0.003141,0.000442,1.22e-06,2.607e-06,FALSE,20170912,CAT IPE-AM IPEA600 20170912
