nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
CHS245x12.5,71.5,0.2445,,0.0125,,,0.00911,6.147e-05,6.147e-05,0.0821,0.0821,0.000503,0.000503,0.000673,0.000673,0.000123,,False,20100728,CAT EN-CHS CHS245x12.5 20100728
CHS219x14.2,71.8,0.2191,,0.0142,,,0.00914,4.82e-05,4.82e-05,0.0726,0.0726,0.00044,0.00044,0.000597,0.000597,9.64e-05,,False,20100728,CAT EN-CHS CHS219x14.2 20100728
CHS324x10.0,77.4,0.3239,,0.01,,,0.00986,0.0001216,0.0001216,0.111,0.111,0.000751,0.000751,0.000986,0.000986,0.0002432,,False,20100728,CAT EN-CHS CHS324x10.0 20100728
CHS508x6.3,77.9,0.508,,0.0063,,,0.00993,0.0003125,0.0003125,0.177,0.177,0.00123,0.00123,0.001586,0.001586,0.0006249,,False,20100728,CAT EN-CHS CHS508x6.3 20100728
CHS406x8.0,78.6,0.4064,,0.008,,,0.01,0.0001987,0.0001987,0.141,0.141,0.000978,0.000978,0.00127,0.00127,0.0003975,,False,20100728,CAT EN-CHS CHS406x8.0 20100728
CHS219x16.0,80.1,0.2191,,0.016,,,0.0102,5.297e-05,5.297e-05,0.072,0.072,0.000483,0.000483,0.000661,0.000661,0.0001059,,False,20100728,CAT EN-CHS CHS219x16.0 20100728
CHS273x12.5,80.3,0.273,,0.0125,,,0.0102,8.697e-05,8.697e-05,0.0922,0.0922,0.000637,0.000637,0.000849,0.000849,0.000174,,False,20100728,CAT EN-CHS CHS273x12.5 20100728
CHS245x14.2,80.6,0.2445,,0.0142,,,0.01027,6.837e-05,6.837e-05,0.0816,0.0816,0.000559,0.000559,0.000754,0.000754,0.0001367,,False,20100728,CAT EN-CHS CHS245x14.2 20100728
CHS356x10.0,85.2,0.3556,,0.01,,,0.0109,0.0001622,0.0001622,0.122,0.122,0.000912,0.000912,0.001195,0.001195,0.0003245,,False,20100728,CAT EN-CHS CHS356x10.0 20100728
CHS457x8.0,88.6,0.457,,0.008,,,0.0113,0.0002845,0.0002845,0.159,0.159,0.001245,0.001245,0.001613,0.001613,0.000569,,False,20100728,CAT EN-CHS CHS457x8.0 20100728
